1 -> 0.68962 	- 0.689789 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.689823 	- 0.691098 	| 0.001275 	-> 0s, 1275.0ms
1 -> 0.691128 	- 0.691298 	| 0.00017 	-> 0s, 170.0ms
0 -> 0.691331 	- 0.691603 	| 0.000272 	-> 0s, 272.0ms
1 -> 0.691634 	- 0.691803 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.691837 	- 0.692112 	| 0.000275 	-> 0s, 275.0ms
1 -> 0.692142 	- 0.692312 	| 0.00017 	-> 0s, 170.0ms
0 -> 0.692345 	- 0.69363 	| 0.001285 	-> 0s, 1285.0ms
1 -> 0.69366 	- 0.693861 	| 0.000201 	-> 0s, 201.0ms
0 -> 0.693895 	- 0.695146 	| 0.001251 	-> 0s, 1251.0ms
1 -> 0.695177 	- 0.695378 	| 0.000201 	-> 0s, 201.0ms
0 -> 0.695411 	- 0.695685 	| 0.000274 	-> 0s, 274.0ms
1 -> 0.695716 	- 0.695884 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.695919 	- 0.697194 	| 0.001275 	-> 0s, 1275.0ms
1 -> 0.697224 	- 0.697391 	| 0.000167 	-> 0s, 167.0ms
0 -> 0.697426 	- 0.6977 	| 0.000274 	-> 0s, 274.0ms
1 -> 0.69773 	- 0.697898 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.697933 	- 0.698206 	| 0.000273 	-> 0s, 273.0ms
1 -> 0.698236 	- 0.698404 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.698439 	- 0.699718 	| 0.001279 	-> 0s, 1279.0ms
1 -> 0.699748 	- 0.699918 	| 0.00017 	-> 0s, 170.0ms
0 -> 0.699951 	- 0.700228 	| 0.000277 	-> 0s, 277.0ms
1 -> 0.700257 	- 0.700433 	| 0.000176 	-> 0s, 176.0ms
0 -> 0.700467 	- 0.701752 	| 0.001285 	-> 0s, 1285.0ms
1 -> 0.701782 	- 0.701956 	| 0.000174 	-> 0s, 174.0ms
0 -> 0.701989 	- 0.702262 	| 0.000273 	-> 0s, 273.0ms
1 -> 0.702293 	- 0.702463 	| 0.00017 	-> 0s, 170.0ms
0 -> 0.702496 	- 0.703764 	| 0.001268 	-> 0s, 1268.0ms
1 -> 0.703795 	- 0.703995 	| 0.0002 	-> 0s, 200.0ms
0 -> 0.704029 	- 0.704271 	| 0.000242 	-> 0s, 242.0ms
